FUTURE,10000000.0
alpha,nan
annualized_returns,0.187
beta,nan
cash,25737770.335
downside_risk,0.112
end_date,2016-12-30
information_ratio,1.069
max_drawdown,0.229
run_type,BACKTEST
sharpe,0.887
sortino,0.087
start_date,2010-01-04
strategy_file,./CTA/dma.py
strategy_name,dma
total_returns,2.173
total_value,31729800.335
tracking_error,0.174
unit_net_value,3.173
units,10000000.0
volatility,0.174
